Rank,Word
1,the
2,of
3,to
4,and
5,a
6,in
7,is
8,it
9,you
10,that
11,he
12,was
13,for
14,on
15,are
16,with
17,as
18,I
19,his
20,they
21,be
22,at
23,one
24,have
25,this
26,from
27,or
28,had
29,by
30,not
31,word
32,but
33,what
34,some
35,we
36,can
37,out
38,other
39,were
40,all
41,there
42,when
43,up
44,use
45,your
46,how
47,said
48,an
49,each
50,she
51,which
52,do
53,their
54,time
55,if
56,will
57,way
58,about
59,many
60,then
61,them
62,write
63,would
64,like
65,so
66,these
67,her
68,long
69,make
70,thing
71,see
72,him
73,two
74,has
75,look
76,more
77,day
78,could
79,go
80,come
81,did
82,number
83,sound
84,no
85,most
86,people
87,my
88,over
89,know
90,water
91,than
92,call
93,first
94,who
95,may
96,down
97,side
98,been
99,now
100,find
101,any
102,new
103,work
104,part
105,take
106,get
107,place
108,made
109,live
110,where
111,after
112,back
113,little
114,only
115,round
116,man
117,year
118,came
119,show
120,every
121,good
122,me
123,give
124,our
125,under
126,name
127,very
128,through
129,just
130,form
131,sentence
132,great
133,think
134,say
135,help
136,low
137,line
138,differ
139,turn
140,cause
141,much
142,mean
143,before
144,move
145,right
146,boy
147,old
148,too
149,same
150,tell
151,does
152,set
153,three
154,want
155,air
156,well
157,also
158,play
159,small
160,end
161,put
162,home
163,read
164,hand
165,port
166,large
167,spell
168,add
169,even
170,land
171,here
172,must
173,big
174,high
175,such
176,follow
177,act
178,why
179,ask
180,men
181,change
182,went
183,light
184,kind
185,off
186,need
187,house
188,picture
189,try
190,us
191,again
192,animal
193,point
194,mother
195,world
196,near
197,build
198,self
199,earth
200,father
201,head
202,stand
203,own
204,page
205,should
206,country
207,found
208,answer
209,school
210,grow
211,study
212,still
213,learn
214,plant
215,cover
216,food
217,sun
218,four
219,between
220,state
221,keep
222,eye
223,never
224,last
225,let
226,thought
227,city
228,tree
229,cross
230,farm
231,hard
232,start
233,might
234,story
235,saw
236,far
237,sea
238,draw
239,left
240,late
241,run
242,don't
243,while
244,press
245,close
246,night
247,real
248,life
249,few
250,north
251,open
252,seem
253,together
254,next
255,white
256,children
257,begin
258,got
259,walk
260,example
261,ease
262,paper
263,group
264,always
265,music
266,those
267,both
268,mark
269,often
270,letter
271,until
272,mile
273,river
274,car
275,feet
276,care
277,second
278,book
279,carry
280,took
281,science
282,eat
283,room
284,friend
285,began
286,idea
287,fish
288,mountain
289,stop
290,once
291,base
292,hear
293,horse
294,cut
295,sure
296,watch
297,color
298,face
299,wood
300,main
301,enough
302,plain
303,girl
304,usual
305,young
306,ready
307,above
308,ever
309,red
310,list
311,though
312,feel
313,talk
314,bird
315,soon
316,body
317,dog
318,family
319,direct
320,pose
321,leave
322,song
323,measure
324,door
325,product
326,black
327,short
328,numeral
329,class
330,wind
331,question
332,happen
333,complete
334,ship
335,area
336,half
337,rock
338,order
339,fire
340,south
341,problem
342,piece
343,told
344,knew
345,pass
346,since
347,top
348,whole
349,king
350,space
351,heard
352,best
353,hour
354,better
355,TRUE
356,during
357,hundred
358,five
359,remember
360,step
361,early
362,hold
363,west
364,ground
365,interest
366,reach
367,fast
368,verb
369,sing
370,listen
371,six
372,table
373,travel
374,less
375,morning
376,ten
377,simple
378,several
379,vowel
380,toward
381,war
382,lay
383,against
384,pattern
385,slow
386,center
387,love
388,person
389,money
390,serve
391,appear
392,road
393,map
394,rain
395,rule
396,govern
397,pull
398,cold
399,notice
400,voice
401,unit
402,power
403,town
404,fine
405,certain
406,fly
407,fall
408,lead
409,cry
410,dark
411,machine
412,note
413,wait
414,plan
415,figure
416,star
417,box
418,noun
419,field
420,rest
421,correct
422,able
423,pound
424,done
425,beauty
426,drive
427,stood
428,contain
429,front
430,teach
431,week
432,final
433,gave
434,green
435,oh
436,quick
437,develop
438,ocean
439,warm
440,free
441,minute
442,strong
443,special
444,mind
445,behind
446,clear
447,tail
448,produce
449,fact
450,street
451,inch
452,multiply
453,nothing
454,course
455,stay
456,wheel
457,full
458,force
459,blue
460,object
461,decide
462,surface
463,deep
464,moon
465,island
466,foot
467,system
468,busy
469,test
470,record
471,boat
472,common
473,gold
474,possible
475,plane
476,stead
477,dry
478,wonder
479,laugh
480,thousand
481,ago
482,ran
483,check
484,game
485,shape
486,equate
487,hot
488,miss
489,brought
490,heat
491,snow
492,tire
493,bring
494,yes
495,distant
496,fill
497,east
498,paint
499,language
500,among
501,grand
502,ball
503,yet
504,wave
505,drop
506,heart
507,am
508,present
509,heavy
510,dance
511,engine
512,position
513,arm
514,wide
515,sail
516,material
517,size
518,vary
519,settle
520,speak
521,weight
522,general
523,ice
524,matter
525,circle
526,pair
527,include
528,divide
529,syllable
530,felt
531,perhaps
532,pick
533,sudden
534,count
535,square
536,reason
537,length
538,represent
539,art
540,subject
541,region
542,energy
543,hunt
544,probable
545,bed
546,brother
547,egg
548,ride
549,cell
550,believe
551,fraction
552,forest
553,sit
554,race
555,window
556,store
557,summer
558,train
559,sleep
560,prove
561,lone
562,leg
563,exercise
564,wall
565,catch
566,mount
567,wish
568,sky
569,board
570,joy
571,winter
572,sat
573,written
574,wild
575,instrument
576,kept
577,glass
578,grass
579,cow
580,job
581,edge
582,sign
583,visit
584,past
585,soft
586,fun
587,bright
588,gas
589,weather
590,month
591,million
592,bear
593,finish
594,happy
595,hope
596,flower
597,clothe
598,strange
599,gone
600,jump
601,baby
602,eight
603,village
604,meet
605,root
606,buy
607,raise
608,solve
609,metal
610,whether
611,push
612,seven
613,paragraph
614,third
615,shall
616,held
617,hair
618,describe
619,cook
620,floor
621,either
622,result
623,burn
624,hill
625,safe
626,cat
627,century
628,consider
629,type
630,law
631,bit
632,coast
633,copy
634,phrase
635,silent
636,tall
637,sand
638,soil
639,roll
640,temperature
641,finger
642,industry
643,value
644,fight
645,lie
646,beat
647,excite
648,natural
649,view
650,sense
651,ear
652,else
653,quite
654,broke
655,case
656,middle
657,kill
658,son
659,lake
660,moment
661,scale
662,loud
663,spring
664,observe
665,child
666,straight
667,consonant
668,nation
669,dictionary
670,milk
671,speed
672,method
673,organ
674,pay
675,age
676,section
677,dress
678,cloud
679,surprise
680,quiet
681,stone
682,tiny
683,climb
684,cool
685,design
686,poor
687,lot
688,experiment
689,bottom
690,key
691,iron
692,single
693,stick
694,flat
695,twenty
696,skin
697,smile
698,crease
699,hole
700,trade
701,melody
702,trip
703,office
704,receive
705,row
706,mouth
707,exact
708,symbol
709,die
710,least
711,trouble
712,shout
713,except
714,wrote
715,seed
716,tone
717,join
718,suggest
719,clean
720,break
721,lady
722,yard
723,rise
724,bad
725,blow
726,oil
727,blood
728,touch
729,grew
730,cent
731,mix
732,team
733,wire
734,cost
735,lost
736,brown
737,wear
738,garden
739,equal
740,sent
741,choose
742,fell
743,fit
744,flow
745,fair
746,bank
747,collect
748,save
749,control
750,decimal
751,gentle
752,woman
753,captain
754,practice
755,separate
756,difficult
757,doctor
758,please
759,protect
760,noon
761,whose
762,locate
763,ring
764,character
765,insect
766,caught
767,period
768,indicate
769,radio
770,spoke
771,atom
772,human
773,history
774,effect
775,electric
776,expect
777,crop
778,modern
779,element
780,hit
781,student
782,corner
783,party
784,supply
785,bone
786,rail
787,imagine
788,provide
789,agree
790,thus
791,capital
792,won't
793,chair
794,danger
795,fruit
796,rich
797,thick
798,soldier
799,process
800,operate
801,guess
802,necessary
803,sharp
804,wing
805,create
806,neighbor
807,wash
808,bat
809,rather
810,crowd
811,corn
812,compare
813,poem
814,string
815,bell
816,depend
817,meat
818,rub
819,tube
820,famous
821,dollar
822,stream
823,fear
824,sight
825,thin
826,triangle
827,planet
828,hurry
829,chief
830,colony
831,clock
832,mine
833,tie
834,enter
835,major
836,fresh
837,search
838,send
839,yellow
840,gun
841,allow
842,print
843,dead
844,spot
845,desert
846,suit
847,current
848,lift
849,rose
850,continue
851,block
852,chart
853,hat
854,sell
855,success
856,company
857,subtract
858,event
859,particular
860,deal
861,swim
862,term
863,opposite
864,wife
865,shoe
866,shoulder
867,spread
868,arrange
869,camp
870,invent
871,cotton
872,born
873,determine
874,quart
875,nine
876,truck
877,noise
878,level
879,chance
880,gather
881,shop
882,stretch
883,throw
884,shine
885,property
886,column
887,molecule
888,select
889,wrong
890,gray
891,repeat
892,require
893,broad
894,prepare
895,salt
896,nose
897,plural
898,anger
899,claim
900,continent
901,oxygen
902,sugar
903,death
904,pretty
905,skill
906,women
907,season
908,solution
909,magnet
910,silver
911,thank
912,branch
913,match
914,suffix
915,especially
916,fig
917,afraid
918,huge
919,sister
920,steel
921,discuss
922,forward
923,similar
924,guide
925,experience
926,score
927,apple
928,bought
929,led
930,pitch
931,coat
932,mass
933,card
934,band
935,rope
936,slip
937,win
938,dream
939,evening
940,condition
941,feed
942,tool
943,total
944,basic
945,smell
946,valley
947,nor
948,double
949,seat
950,arrive
951,master
952,track
953,parent
954,shore
955,division
956,sheet
957,substance
958,favor
959,connect
960,post
961,spend
962,chord
963,fat
964,glad
965,original
966,share
967,station
968,dad
969,bread
970,charge
971,proper
972,bar
973,offer
974,segment
975,slave
976,duck
977,instant
978,market
979,degree
980,populate
981,chick
982,dear
983,enemy
984,reply
985,drink
986,occur
987,support
988,speech
989,nature
990,range
991,steam
992,motion
993,path
994,liquid
995,log
996,meant
997,quotient
998,teeth
999,shell
1000,neck
