English,Spanish,HC
abandon,abandonar,abandone
ability,capacidad,kapasite
able,capaz,kapab
abortion,aborto,avòtman
about,acerca de,sou
above,arriba,pi wo a
abroad,en el extranjero,aletranje
absence,ausencia,absans
absolute,absoluto,absoli
absolutely,absolutamente,absoliman
absorb,absorber,absòbe
abuse,abuso,abi
academic,académico,akademik
accept,aceptar,aksepte
access,acceso,aksè
accident,accidente,aksidan
accompany,acompañar,akonpanye
accomplish,lograr,akonpli
according,de acuerdo a,dapre
account,cuenta,kont
accurate,preciso,egzat
accuse,acusar,akize
achieve,lograr,reyalize
achievement,logro,reyalizasyon
acid,ácido,asid
acknowledge,reconocer,rekonèt
acquire,adquirir,jwenn
across,al otro lado de,atravè
act,acto,aji
action,acción,aksyon
active,activo,aktif
activist,activista,aktivis
activity,actividad,aktivite
actor,actor,aktè
actress,Actriz,aktris
actual,actual,aktyèl
actually,de hecho,aktyèlman
ad,anuncio,ad
adapt,adaptar,adapte
add,agregar,ajoute
addition,suma,adisyon
additional,adicional,adisyonèl
address,Direccion,adrès
adequate,adecuado,adekwat
adjust,ajustar,ajiste
adjustment,ajustamiento,ajisteman
administration,administración,administrasyon
administrator,administrador,administratè
admire,admirar,admire
admission,admisión,admisyon
admit,admitir,admèt
adolescent,adolescente,adolesan
adopt,adoptar,adopte
adult,adulto,granmoun
advance,avance,avanse
advanced,avanzado,avanse
advantage,ventaja,avantaj
adventure,aventura,avanti
advertising,publicidad,piblisite
advice,consejo,konsèy
advise,aconsejar,konseye
adviser,asesor,konseye
advocate,defensor,avoka
affair,amorío,zafè
affect,afectar,afekte
afford,poder pagar,peye
afraid,asustado,pè
African,africano,Afriken
African-American,Afroamericano,Afriken-Ameriken
after,después,apre
afternoon,tarde,apremidi
again,de nuevo,ankò
against,contra,kont
age,edad,laj
agency,agencia,ajans
agenda,agenda,ajanda
agent,agente,ajan
aggressive,agresivo,agresif
ago,atrás,de sa
agree,aceptar,dakò
agreement,acuerdo,akò
agricultural,agrícola,agrikòl
ah,ah,ah
ahead,adelante,devan
aid,ayuda,èd
aide,ayudante,èd
AIDS,SIDA,SIDA
aim,apuntar,vize
air,aire,lè
aircraft,aeronave,avyon
airline,aerolínea,avyon
airport,aeropuerto,ayewopò
album,álbum,album
alcohol,alcohol,alkòl
alive,vivo,vivan
all,todo,tout
alliance,Alianza,alyans
allow,permitir,pèmèt
ally,aliado,alye
almost,casi,prèske
alone,solo,pou kont li
along,a lo largo de,ansanm
already,ya,deja
also,también,tou
alter,alterar,chanje
alternative,alternativa,altènatif
although,a pesar de,byenke
always,siempre,toujou
AM,SOY,AM
amazing,asombroso,etonan
American,Americano,Ameriken
among,entre,nan mitan
amount,cantidad,kantite lajan
analysis,análisis,analiz
analyst,analista,analis
analyze,analizar,analize
ancient,antiguo,ansyen
and,y,epi
anger,enojo,kòlè
angle,ángulo,ang
angry,enojado,fache
animal,animal,bèt
anniversary,aniversario,anivèsè
announce,anunciar,anonse
annual,anual,anyèl
another,otro,yon lòt
answer,respuesta,reponn
anticipate,anticipar,antisipe
anxiety,ansiedad,enkyetid
any,cualquier,nenpòt
anybody,cualquiera,okenn moun
anymore,ya no,ankò
anyone,alguien,nenpòt moun
anything,cualquier cosa,anyen
anyway,de todos modos,de tout fason
anywhere,en cualquier lugar,nenpòt kote
apart,aparte,apa
apartment,departamento,apatman
apparent,aparente,aparan
apparently,aparentemente,aparamman
appeal,apelar,apèl
appear,aparecer,parèt
appearance,apariencia,aparans
apple,manzana,pòm
application,solicitud,aplikasyon
apply,aplicar,aplike
appoint,nombrar,nonmen
appointment,cita,randevou
appreciate,agradecer,apresye
approach,acercarse,apwòch
appropriate,adecuado,apwopriye
approval,aprobación,apwouve
approve,aprobar,apwouve
approximately,aproximadamente,apeprè
Arab,árabe,Arab
architect,arquitecto,achitèk
area,área,zòn
argue,argumentar,diskite
argument,argumento,agiman
arise,surgir,leve
arm,brazo,bra
armed,armado,ame
army,ejército,lame
around,alrededor,alantou
arrange,arreglar,ranje
arrangement,acuerdo,aranjman
arrest,arrestar,arete
arrival,llegada,arive
arrive,llegar,rive
art,arte,atizay
article,artículo,atik
artist,artista,atis
artistic,artístico,atistik
as,como,kòm
Asian,asiático,Azyatik
aside,aparte,sou kote
ask,preguntar,mande
asleep,dormido,dòmi
aspect,aspecto,aspè
assault,agresión,atak
assert,afirmar,afime
assess,evaluar,evalye
assessment,evaluación,evalyasyon
asset,activo,avantaj
assign,asignar,plase
assignment,asignación,devwa
assist,asistir,ede
assistance,asistencia,asistans
assistant,asistente,asistan
associate,asociado,asosye
association,asociación,asosyasyon
assume,asumir,asime
assumption,suposición,sipozisyon
assure,asegurar,asire
at,en,nan
athlete,atleta,atlèt
athletic,atlético,atletik
atmosphere,atmósfera,atmosfè
attach,adjuntar,tache
attack,ataque,atak
attempt,intentar,tantativ
attend,asistir,patisipe
attention,atención,atansyon
attitude,actitud,atitid
attorney,abogado,avoka
attract,atraer,atire
attractive,atractivo,atire
attribute,atributo,atribi
audience,audiencia,odyans lan
author,autor,otè
authority,autoridad,otorite
auto,auto,oto
available,disponible,disponib
average,promedio,mwayèn
avoid,evitar,evite
award,otorgar,prim
aware,consciente,okouran
awareness,conciencia,konsyans
away,lejos,lwen
awful,horrible,terib
baby,bebé,ti bebe
back,atrás,tounen
background,fondo,background
bad,malo,move
badly,gravemente,mal
bag,bolsa,sak
bake,hornear,kwit
balance,balance,balans
ball,pelota,boul
ban,prohibición,entèdiksyon
band,banda,bann
bank,banco,bank
bar,bar,ba
barely,apenas,apèn
barrel,barril,barik
barrier,barrera,baryè
base,base,baz
baseball,béisbol,bezbòl
basic,básico,debaz
basically,básicamente,an prensip
basis,base,baz
basket,cesta,panyen
basketball,baloncesto,baskètbòl
bathroom,baño,twalèt
battery,batería,batri
battle,batalla,batay
be,ser,dwe
beach,playa,plaj
bean,frijol,pwa
bear,oso,lous
beat,derrotar,bat
beautiful,hermoso,bèl
beauty,belleza,bote
because,porque,paske
become,convertirse,vin
bed,cama,kabann
bedroom,dormitorio,chanm
beer,cerveza,byè
before,antes,anvan
begin,comenzar,kòmanse
beginning,comienzo,kòmansman
behavior,comportamiento,konpòtman
behind,detrás,dèyè
being,ser,ke yo te
belief,creencia,kwayans
believe,creer,kwè
bell,campana,klòch
belong,pertenecer,fè pati
below,abajo,anba a
belt,cinturón,sentiwon
bench,banco,ban
bend,doblar,pliye
beneath,bajo,anba
benefit,beneficio,benefisye
beside,al lado de,bò kote
besides,además,anplis
best,mejor,pi bon
bet,apuesta,parye
better,mejor,pi bon
between,entre,ant
beyond,más allá de,pi lwen pase
Bible,Biblia,Bib la
big,grande,gwo
bike,bicicleta,bisiklèt
bill,factura,bòdwo
billion,mil millones,milya dola
bind,unir,mare
biological,biológico,byolojik
bird,pájaro,zwazo
birth,nacimiento,nesans
birthday,cumpleaños,anivèsè nesans
bit,poco,ti jan
bite,morder,mòde
black,negro,nwa
blade,cuchilla,lam
blame,culpa,blame
blanket,frazada,dra
blind,ciego,avèg
block,bloquear,blòk
blood,sangre,san
blow,explotar,soufle
blue,azul,ble
board,junta,tablo
boat,bote,bato
body,cuerpo,kò
bomb,bomba,bonm
bombing,bombardeo,bonbadman
bond,vínculo,kosyon
bone,hueso,zo
book,libro,Liv
boom,auge,boom
boot,bota,bòt
border,borde,fwontyè
born,nacido,fèt
borrow,pedir prestado,prete
boss,jefe,bòs nan travay
both,ambos,tou de
bother,molestar,deranje
bottle,botella,boutèy
bottom,abajo,anba
boundary,Perímetro,fwontyè
bowl,bol,bòl
box,caja,bwat
boy,chico,ti gason
boyfriend,novio,mennaj
brain,cerebro,sèvo
branch,rama,branch
brand,marca,mak
bread,pan,pen
break,romper,kraze
breakfast,desayuno,manje maten
breast,mama,tete
breath,aliento,souf
breathe,respirar,respire
brick,ladrillo,brik
bridge,puente,pon
brief,breve,kout
briefly,brevemente,yon ti tan
bright,brillante,klere
brilliant,brillante,briyan
bring,traer,pote
British,británico,Britanik
broad,amplio,laj
broken,roto,kase
brother,hermano,frè
brown,marrón,mawon
brush,cepillar,bwòs
buck,dólar,bouk
budget,presupuesto,bidjè
build,construir,bati
building,edificio,bilding
bullet,bala,bal
bunch,racimo,pakèt
burden,carga,chay
burn,quemar,boule
bury,enterrar,antere
bus,autobús,bis
business,negocio,biznis
busy,ocupado,okipe
but,pero,men
butter,manteca,bè
button,botón,bouton
buy,comprar,achte
buyer,comprador,achtè
by,por,pa
cabin,cabina,kabin
cabinet,gabinete,kabinè
cable,cable,kab
cake,pastel,gato
calculate,calcular,kalkile
call,llamar,rele
camera,cámara,kamera
camp,acampar,kan
campaign,campaña,kanpay
campus,instalaciones,kanpis
can,poder,kapab
Canadian,canadiense,Kanadyen
cancer,cáncer,kansè
candidate,candidato,kandida
cap,gorra,bouchon
capability,capacidad,kapasite
capable,capaz,kapab
capacity,capacidad,kapasite
capital,capital,kapital
captain,capitán,kapitènn
capture,captura,kaptire
car,auto,machin
carbon,carbón,kabòn
card,tarjeta,kat
care,cuidado,swen
career,carrera,karyè
careful,cuidadoso,atansyon
carefully,con cuidado,ak anpil atansyon
carrier,transportador,konpayi asirans
carry,llevar,pote
case,caso,ka
cash,dinero,lajan kach
cast,elenco,jete
cat,gato,chat
catch,atrapar,trape
category,categoría,kategori
Catholic,católico,Katolik
cause,causa,koz
ceiling,techo,plafon
celebrate,celebrar,selebre
celebration,celebracion,selebrasyon
celebrity,celebridad,selebrite
cell,celúla,selil
center,centro,sant
central,central,santral
century,siglo,syèk
CEO,CEO,CEO
ceremony,ceremonia,seremoni
certain,cierto,sèten
certainly,ciertamente,sètènman
chain,cadena,chèn
chair,silla,chèz
chairman,presidente,prezidan
challenge,desafío,defi
chamber,cámara,chanm
champion,campeón,chanpyon
championship,campeonato,chanpyona
chance,oportunidad,chans
change,cambiar,chanje
changing,cambiando,chanje
channel,canal,chanèl
chapter,capítulo,chapit
character,personaje,karaktè
characteristic,característica,karakteristik
characterize,caracterizar,karakterize
charge,cargar,chaj
charity,caridad,charite
chart,cuadro,tablo
chase,perseguir,kouri dèyè
cheap,barato,bon mache
check,controlar,tcheke
cheek,mejilla,machwè
cheese,queso,fwomaj
chef,cocinero,chef
chemical,químico,chimik
chest,pecho,pwatrin
chicken,pollo,poul
chief,jefe,chèf
child,niño,pitit
childhood,infancia,anfans
Chinese,Chino,Chinwa
chip,chip,chip
chocolate,chocolate,chokola
choice,elección,chwa
cholesterol,colesterol,kolestewòl
choose,elegir,chwazi
Christian,cristiano,Kretyen
Christmas,Navidad,Nwèl
church,iglesia,legliz
cigarette,cigarrillo,sigarèt
circle,círculo,sèk
circumstance,circunstancia,sikonstans
cite,citar,site
citizen,ciudadano,sitwayen
city,ciudad,vil la
civil,civil,sivil
civilian,civil,sivil
claim,afirmar,reklamasyon
class,clase,klas
classic,clásico,klasik
classroom,aula,salklas
clean,limpio,pwòp
clear,claro,klè
clearly,claramente,klèman
client,cliente,kliyan
climate,clima,klima
climb,trepar,monte
clinic,clínica,klinik
clinical,clínico,klinik
clock,reloj,revèy
close,cerca,fèmen
closely,cercanamente,byen
closer,cerca,pi pre
clothes,ropa,rad
clothing,ropa,rad
cloud,nube,nwaj
club,club,klib
clue,clave,siy
cluster,grupo,grap
coach,entrenador,antrenè
coal,carbón,chabon
coalition,coalición,kowalisyon
coast,costa,kòt
coat,abrigo,rad
code,código,kòd
coffee,café,kafe
cognitive,cognitivo,mantal
cold,frío,frèt
collapse,colapsar,tonbe
colleague,colega,kòlèg
collect,recolectar,kolekte
collection,recopilación,koleksyon
collective,colectivo,kolektif
college,colega,kolèj
colonial,colonial,kolonyal
color,color,koulè
column,columna,kolòn
combination,combinación,konbinezon
combine,combinar,konbine
come,venir,vini
comedy,comedia,komedyen
comfort,comodidad,konfò
comfortable,cómodo,konfòtab
command,dominio,kòmandman
commander,comandante,kòmandan
comment,comentario,kòmantè
commercial,comercial,komèsyal
commission,comisión,komisyon
commit,comprometerse,komèt
commitment,compromiso,angajman
committee,comité,komite
common,común,komen
communicate,comunicar,kominike
communication,comunicación,kominikasyon
community,comunidad,kominote
company,compañía,konpayi
compare,comparar,konpare
comparison,comparación,konparezon
compete,competir,konpetisyon
competition,competencia,konpetisyon
competitive,competitivo,konpetitif
competitor,competidor,konkiran
complain,quejarse,plenyen
complaint,queja,plent
complete,completo,konplè
completely,completamente,konplètman
complex,complejo,konplèks
complicated,complicado,konplike
component,componente,eleman
compose,componer,konpoze
composition,composición,konpozisyon
comprehensive,integral,konplè
computer,computadora,òdinatè
concentrate,concentrarse,konsantre
concentration,concentración,konsantrasyon
concept,concepto,konsèp
concern,inquietud,enkyetid
concerned,preocupado,konsène
concert,concierto,konsè
conclude,concluir,konkli
conclusion,conclusión,konklizyon
concrete,concreto,konkrè
condition,condición,kondisyon
conduct,conducta,konduit
conference,conferencia,konferans
confidence,confianza,konfyans
confident,seguro,konfyans
confirm,confirmar,konfime
conflict,conflicto,konfli
confront,confrontar,konfwonte
confusion,confusión,konfizyon
Congress,Congreso,Kongrè a
congressional,del congreso,kongrè a
connect,conectar,konekte
connection,conexión,koneksyon
consciousness,conciencia,konsyans
consensus,consenso,konsansis
consequence,consecuencia,konsekans
conservative,conservador,konsèvatif
consider,considerar,konsidere
considerable,considerable,konsiderab
consideration,consideración,konsiderasyon
consist,consistir,konpoze
consistent,coherente,konsistan
constant,constante,konstan
constantly,constantemente,toujou ap
constitute,constituir,konstitye
constitutional,constitucional,konstitisyonèl
construct,construir,konstwi
construction,construcción,konstriksyon
consultant,consultor,konsiltan
consume,consumir,konsome
consumer,consumidor,konsomatè
consumption,consumo,konsomasyon
contact,contacto,kontakte
contain,contener,genyen
container,envase,veso
contemporary,contemporáneo,kontanporen
content,contenido,kontni
contest,concurso,konkou
context,contexto,kontèks
continue,continuar,kontinye
continued,continuado,kontinye
contract,contrato,kontra
contrast,contraste,kontras
contribute,contribuir,kontribye
contribution,contribución,kontribisyon
control,control,kontwòl
controversial,controversial,kontwovèsyal
controversy,controversia,konfli
convention,convención,konvansyon
conventional,convencional,konvansyonèl yo
conversation,conversación,konvèsasyon
convert,convertir,konvèti
conviction,convicción,konviksyon
convince,convencer,konvenk
cook,cocinar,kwit manje
cookie,Galleta,bonbon
cooking,cocinando,kwit manje
cool,Frío,fre
cooperation,cooperación,koperasyon
cop,policía,jandam
cope,afrontar,fè fas
copy,Copiar,kopi
core,centro,nwayo
corn,maíz,mayi
corner,esquina,kwen
corporate,corporativo,antrepriz
corporation,corporación,sosyete
correct,correcto,kòrèk
correspondent,corresponsal,korespondan
cost,costo,pri
cotton,algodón,koton
couch,sofá,kanape
could,podría,te kapab
council,concejo,konsèy
counselor,consejero,konseye
count,contar,konte
counter,encimera,kontwa
country,país,peyi
county,condado,konte
couple,pareja,koup
courage,coraje,kouraj
course,curso,kou
court,corte,tribinal
cousin,primo,kouzen
cover,cubrir,kouvri
coverage,cobertura,pwoteksyon
cow,vaca,bèf
crack,grieta,krak
craft,artesanía,navèt
crash,chocar,aksidan
crazy,loco,fou
cream,crema,krèm
create,crear,kreye
creation,creación,kreyasyon
creative,creativo,kreyatif
creature,criatura,bèt
credit,crédito,kredi
crew,multitud,ekipaj
crime,delito,krim
criminal,delincuente,kriminèl
crisis,crisis,kriz
criteria,criterios,kritè
critic,crítico,kritik
critical,crítico,kritik
criticism,crítica,kritik
criticize,criticar,kritike
crop,cultivo,rekòt
cross,cruz,kwa
crowd,multitud,foul moun
crucial,crucial,kritik
cry,llorar,kriye
cultural,cultural,kiltirèl
culture,cultura,kilti
cup,taza,tas
curious,curioso,kirye
current,actual,aktyèl
currently,actualmente,kounye a
curriculum,plan de estudios,kourikoulòm
custom,costumbre,koutim
customer,cliente,kliyan
cut,cortar,koupe
cycle,ciclo,sik
dad,papá,papa
daily,a diario,chak jou
damage,daño,domaj
dance,bailar,danse
danger,peligro,danje
dangerous,peligroso,danjere
dare,atrevimiento,oze
dark,oscuro,fè nwa
darkness,oscuridad,fènwa
data,datos,done
date,fecha,dat
daughter,hija,pitit fi
day,día,jou
dead,muerto,mouri
deal,trato,kontra
dealer,distribuidor,machann
dear,estimado,mezanmi
death,muerte,lanmò
debate,debate,deba
debt,deuda,dèt
decade,década,deseni
decide,decidir,deside
decision,decisión,desizyon
deck,cubierta,pil
declare,declarar,deklare
decline,rechazar,n bès
decrease,disminuir,diminye
deep,profundo,fon
deeply,profundamente,pwofondman
deer,ciervo,sèf
defeat,fracaso,defèt
defend,defender,defann
defendant,acusado,akize
defense,defensa,defans
defensive,defensivo,defansiv
deficit,déficit,defisi
define,definir,defini
definitely,definitivamente,definitivman
definition,definición,definisyon
degree,grado,degre
delay,demora,reta
deliver,entregar,delivre
delivery,entrega,livrezon
demand,demanda,demann
democracy,democracia,demokrasi
Democrat,Demócrata,Demokrat
democratic,democrático,demokratik
demonstrate,demostrar,demontre
demonstration,demostración,demonstrasyon
deny,denegar,refize
department,departamento,depatman
depend,depender,depann de
dependent,dependiente,depandan
depending,dependiente,depann
depict,representar,dekri
depression,depresión,depresyon
depth,profundidad,pwofondè
deputy,diputado,depite
derive,derivar,derive
describe,describir,dekri
description,descripción,deskripsyon
desert,desierto,dezè
deserve,merecer,merite
design,diseño,konsepsyon
designer,diseñador,designer
desire,deseo,dezi
desk,escritorio,biwo
desperate,desesperado,dezespere
despite,a pesar de,malgre
destroy,destruir,detwi
destruction,destrucción,destriksyon
detail,detalle,detay
detailed,detallado,detaye
detect,detectar,detekte
determine,determinar,detèmine
develop,desarrollar,devlope
developing,desarrollando,devlope
development,desarrollo,devlopman
device,dispositivo,aparèy
devote,dedicar,konsakre
dialogue,diálogo,dyalòg
die,morir,mouri
diet,dieta,rejim alimantè
differ,diferir de,diferan
difference,diferencia,diferans
different,diferente,diferan
differently,diferentemente,yon fason diferan
difficult,difícil,difisil
difficulty,dificultad,difikilte
dig,excavar,fouye
digital,digital,dijital
dimension,dimensión,dimansyon
dining,comida,manje
dinner,cena,dine
direct,directo,dirèk
direction,dirección,direksyon
directly,directamente,dirèkteman
director,director,direktè
dirt,suciedad,pousyè tè
dirty,sucio,sal
disability,discapacidad,andikap
disagree,discrepar,pa dakò
disappear,desaparecer,disparèt
disaster,desastre,dezas
discipline,disciplina,disiplin
discourse,discurso,diskou
discover,descubrir,dekouvri
discovery,descubrimiento,dekouvèt
discrimination,discriminación,diskriminasyon
discuss,conversar,diskite
discussion,discusión,diskisyon
disease,enfermedad,maladi
dish,plato,plat
dismiss,despedir,ranvwaye
disorder,trastorno,dezòd
display,mostrar,ekspozisyon
dispute,disputar,diskisyon
distance,distancia,distans
distant,distante,byen lwen
distinct,distinto,diferan
distinction,distinción,distenksyon
distinguish,distinguir,distenge
distribute,distribuir,distribye
distribution,distribución,distribisyon
district,distrito,distri
diverse,diverso,divès
diversity,diversidad,divèsite
divide,dividir,divize
division,división,divizyon
divorce,divorcio,divòs
DNA,ADN,ADN
do,hacer,fè
doctor,doctor,doktè
document,documento,dokiman
dog,perro,chen
domestic,doméstico,domestik
dominant,dominante,dominan
dominate,dominar,domine
door,puerta,pòt
double,doble,doub
doubt,duda,dout
down,abajo,desann
downtown,centro,anba lavil
dozen,docena,douzèn
draft,borrador,bouyon
drag,arrastrar,trennen
drama,drama,dram
dramatic,dramático,dramatik
dramatically,dramáticamente,dramatikman
draw,dibujar,trase
drawing,dibujo,desen
dream,sueño,rèv
dress,vestido,abiye
drink,beber,bwè
drive,conducir,kondwi
driver,conductor,chofè
drop,gota,gout
drug,droga,dwòg
dry,seco,sèk
due,pendiente,akòz
during,durante,pandan
dust,polvo,pousyè
duty,deber,devwa
each,cada,chak
eager,ansioso,anvi
ear,oreja,zòrèy
early,temprano,bonè
earn,ganar,touche
earnings,ganancias,salè
earth,tierra,latè
ease,facilidad,fasilite
easily,fácilmente,fasil
east,este,bò solèy leve
eastern,oriental,lès
easy,fácil,fasil
eat,comer,manje
economic,económico,ekonomik
economics,ciencias económicas,ekonomi
economist,economista,ekonomis
economy,economía,ekonomi
edge,borde,kwen
edition,edición,edisyon
editor,editor,editè
educate,educar,edike
education,educación,edikasyon
educational,educativo,edikatif
educator,educador,edikatè
effect,efecto,efè
effective,eficaz,efikas
effectively,efectivamente,efektivman
efficiency,eficiencia,efikasite
efficient,eficiente,efikas
effort,esfuerzo,efò
egg,huevo,ze
eight,ocho,uit
either,cualquiera,swa
elderly,anciano,granmoun aje
elect,electo,eli
election,elección,eleksyon
electric,eléctrico,elektrik
electricity,electricidad,elektrisite
electronic,electrónico,elektwonik
element,elemento,eleman
elementary,elemental,elemantè
eliminate,eliminar,elimine
elite,élite,elit
else,demás,lòt bagay
elsewhere,en otra parte,yon lòt kote
e-mail,correo electrónico,imel
embrace,abarcar,anbrase
emerge,surgir,sòti
emergency,emergencia,ijans
emission,emisión,emisyon
emotion,emoción,emosyon
emotional,emocional,emosyonèl
emphasis,énfasis,anfaz
emphasize,enfatizar,mete aksan sou
employ,emplear,anplwaye
employee,empleado,anplwaye
employer,empleador,patwon
employment,empleo,travay
empty,vacío,vid
enable,permitir,pèmèt
encounter,encontrar,rankont
encourage,alentar,ankouraje
end,fin,fini
enemy,enemigo,lènmi
energy,energía,enèji
enforcement,aplicación,ranfòsman
engage,comprometer,angaje
engine,motor,motè
engineer,ingeniero,enjenyè
engineering,ingeniería,jeni
English,Inglés,angle
enhance,mejorar,amelyore
enjoy,disfrutar,jwi
enormous,enorme,menmen
enough,suficiente,ase
ensure,asegurar,asire
enter,ingresar,antre
enterprise,empresa,antrepriz
entertainment,entretenimiento,amizman
entire,completo,tout antye
entirely,enteramente,totalman
entrance,entrada,antre
entry,entrada,antre
environment,ambiente,anviwònman
environmental,ambiental,anviwònman
episode,episodio,epizòd
equal,igual,egal
equally,igualmente,egalman
equipment,equipo,ekipman
era,era,epòk
error,error,erè
escape,escapar,chape
especially,especialmente,sitou
essay,ensayo,redaksyon
essential,básico,esansyèl
essentially,esencialmente,esansyèlman
establish,establecer,etabli
establishment,establecimiento,etablisman
estate,bienes,byen imobilye
estimate,estimar,estimasyon
etc,etc.,elatriye
ethics,ética,etik
ethnic,étnico,etnik
European,europeo,Ewopeyen an
evaluate,evaluar,evalye
evaluation,evaluación,evalyasyon
even,incluso,menm
evening,noche,aswè
event,evento,evènman
eventually,eventualmente,evantyèlman
ever,alguna vez,tout tan
every,cada,chak
everybody,todos,tout moun
everyday,cada día,chak jou
everyone,todos,tout moun
everything,todo,tout bagay
everywhere,en todos lados,tout kote
evidence,evidencia,prèv
evolution,evolución,evolisyon
evolve,evolucionar,evolye
exact,exacto,egzak
exactly,exactamente,egzakteman
examination,examen,egzaminasyon
examine,examinar,egzaminen
example,ejemplo,egzanp
exceed,superar,depase
excellent,excelente,ekselan
except,excepto,eksepte
exception,excepción,eksepsyon
exchange,intercambio,echanj
exciting,emocionante,eksitan
executive,ejecutivo,egzekitif
exercise,ejercicio,fè egzèsis
exhibit,anexo,ekspozisyon
